notation,label_lt,label_en
gatve,Gatvė,Street
aikste,Aikštė,Square
akligatvis,Akligatvis,Dead end
aleja,Alėja,Alley
aplinkkelis,Aplinkkelis,Bypass
kelias,Kelias,Road
krantine,Krantinė,Embankment
plentas,Plentas,Highway
prospektas,Prospektas,Avenue
skersgatvis,Skersgatvis,Side street
skveras,Skveras,Public garden
takas,Takas,Path
nenorminis-pavadinimas,Nenorminis pavadinimas,Non-standard name
