notation,label_lt,label_en
frakcija,Frakcija,Parliamentary faction
komitetas,Komitetas,Committee
komisija,Komisija,Commission
parlamentine-grupe,Parlamentinė grupė,Parliamentary group
valdyba,Valdyba,Board
