kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
JOLITA    PELECKIENĖ,8389.00,0.0,265370.0,0.0,44600.0,10000.0,57293.75
EDGARAS    VALECKAS,9531.00,18000.0,0.0,0.0,124000.0,5000.0,63937.13
BENAS RENATAS    BALTUSIS,3899.00,320812.0,671951.0,0.0,50000.0,10000.0,36683.63
VIRGINIJUS    LUKOŠIŪNAS,4935.00,97213.0,145600.0,0.0,11739.0,18823.0,37509.01
JONAS    KUKLYS,3234.00,0.0,0.0,0.0,0.0,0.0,24267.87
ALGIMANTAS    LIUBINSKAS,7331.00,0.0,1732000.0,930001.0,393941.0,23516.0,52473.82
DONATAS    RAMANAUSKAS,1177.00,0.0,43520.0,0.0,92000.0,0.0,7847.00
ASTA    LUKOŠIŪNIENĖ,533.00,10000.0,31800.0,10000.0,0.0,0.0,10744.63
SAULIUS    NARŪNAS,9050.00,14460.0,48825.0,0.0,25367.0,10600.0,60333.81
JUOZAS    JANKEVIČIUS,9934.00,0.0,174555.0,0.0,135360.0,8640.0,75629.92
AUDRIUS    GOŠTAUTAS,2552.00,141000.0,80120.0,120000.0,0.0,0.0,35729.69
INGRIDA    VISOCKIENĖ,5824.00,10000.0,368000.0,0.0,10000.0,0.0,40773.00
ALFREDAS    ASTIKAS,85.00,200000.0,440000.0,54000.0,55000.0,0.0,63482.30
JEVGENIJ    GAGARIN,4924.00,0.0,138500.0,0.0,35000.0,0.0,35154.65
INGA    SIMANONYTĖ,4904.00,0.0,0.0,0.0,0.0,0.0,37705.62
ARTŪRAS    VAŠKEVIČIUS,12093.00,5000.0,125000.0,0.0,0.0,0.0,80621.30
NERIJUS    ŽILEVIČIUS,513.00,0.0,0.0,0.0,0.0,0.0,9057.57
GINTARAS    ŽANDARAVIČIUS,7298.00,154650.0,187000.0,0.0,25928.0,13000.0,52853.45
LORETA    RUPEIKIENĖ,10653.00,0.0,371107.0,0.0,35750.0,0.0,74186.92
VAIDOTAS    VAITKEVIČIUS,0.00,167360.0,6082035.0,0.0,22545.0,23000.0,659.00
EGLĖ    URBONIENĖ,5715.00,0.0,129600.0,0.0,11727.0,0.0,47479.33
REGINA    ŠIMANAUSKIENĖ,4872.00,240061.0,682000.0,20000.0,201304.0,17619.0,35866.65
ALEKSANDRAS    BOJAROVAS,0.00,0.0,418000.0,0.0,50000.0,0.0,442.40
ARAS    KAIKARIS,7655.00,0.0,2300.0,0.0,0.0,0.0,51036.45
ROLANDAS    URNIEŽIUS,0.00,15000.0,0.0,0.0,0.0,0.0,2142.00
STANISLAV    TARASEVIČ,565.00,19026.0,98903.0,0.0,15000.0,0.0,11938.22
RUSLAN    KOVALIOV,18038.00,0.0,0.0,741465.0,1120000.0,75000.0,120854.22
PETRAS    NAUSĖDA,3790.00,214745.0,252000.0,0.0,36400.0,0.0,31432.90
BEATA    LABUTYTĖ,1984.00,0.0,140100.0,0.0,5000.0,0.0,117420.96
ONA    ŠIŠKIENĖ,2255.00,31279.0,22474.0,0.0,10000.0,0.0,22807.05
TATJANA    ČERNIAVSKIENĖ,5879.00,483.0,246971.0,0.0,106468.0,0.0,39796.63
GINTARAS    SODEIKA,9019.00,347652.0,205000.0,0.0,260000.0,43000.0,80739.73
SNAIGĖ    VALENTUKEVIČIENĖ,11126.00,0.0,3330000.0,0.0,510000.0,0.0,79080.24
ZOFIJA    ABECIŪNIENĖ,0.00,0.0,295000.0,0.0,15000.0,0.0,3876.50
POVILAS    ALEKSANDRAVIČIUS,9461.00,0.0,310000.0,0.0,10100.0,0.0,63171.82
DANGIS    GUDELIS,9638.00,70000.0,259000.0,0.0,5000.0,0.0,69841.71
VITALIUS    BESAKIRSKAS,3618.00,0.0,0.0,41938.0,250000.0,45000.0,34599.65
JANINA    ŠIMKUVIENĖ,3230.00,0.0,67615.0,0.0,0.0,0.0,24911.99
ROBERTAS    FILISTOVIČIUS,5964.00,0.0,0.0,0.0,40000.0,25300.0,39757.40
MARIUS    STANKEVIČIUS,447.00,0.0,466337.0,0.0,2567.0,42228.0,28414.01
VIDMANTAS    ŠIMKUS,5443.00,315709.0,690000.0,205120.0,25677.0,10715.0,49477.92
JONAS    MARCINKUS,3134.00,216000.0,29483.0,0.0,0.0,0.0,25455.99
ANGELĖ    RUKŠTELIENĖ,6542.00,0.0,172000.0,0.0,85000.0,0.0,44215.85
DONATAS    VEČERSKIS,13679.00,0.0,241076.0,0.0,218950.0,18579.0,91793.88
MARTYNAS    NAGEVIČIUS,55988.00,0.0,685000.0,52000.0,220000.0,238000.0,395052.66
DAINIUS    VARNAS,0.00,0.0,0.0,0.0,5046.0,0.0,1902.92
MICHAIL    OLISOV,216.00,18000.0,524000.0,0.0,98000.0,0.0,7081.34
JANĖ    NARVILIENĖ,7128.00,0.0,968000.0,0.0,15000.0,0.0,47520.00
AUDRONĖ    MALŪKIENĖ,6208.00,0.0,70.0,0.0,43207.0,0.0,43113.72
SAULIUS    SKAMBINAS,1561.00,282444.0,606800.0,0.0,0.0,0.0,84763.97
JONAS    JUODKA,7209.00,0.0,175000.0,0.0,0.0,0.0,49258.32
ROSVALDAS    GORBAČIOVAS,4571.00,341312.0,188000.0,0.0,105213.0,0.0,37954.46
OLGA    GORŠKOVA,7399.00,15000.0,15000.0,0.0,30000.0,0.0,49323.86
LAIMAS    DIENINIS,6658.00,258000.0,292500.0,0.0,25000.0,0.0,49095.63
ZITA    UŽLYTĖ,12480.00,0.0,0.0,0.0,150000.0,0.0,83202.69
ANTANAS    NAUJOKAS,6154.00,21328.0,29822.0,0.0,85600.0,0.0,47938.02
ARVYDAS    JAKAS,0.00,1262560.0,1253168.0,28000.0,0.0,67773.0,0.00
EDGARAS    STANIŠAUSKAS,2315.00,0.0,80103.0,0.0,0.0,0.0,20100.70
SAULIUS    GEGIECKAS,10482.00,0.0,100000.0,0.0,29000.0,0.0,69876.70
DANUTĖ    BUDREIKAITĖ,7970.00,0.0,1294874.0,0.0,1982011.0,292788.0,58099.62
POVILAS    MAČIULIS,7373.00,0.0,17000.0,0.0,40000.0,504.0,54014.24
ŽYDRŪNAS    SAVICKAS,26032.00,0.0,625948.0,133065.0,297373.0,173840.0,303113.22
JŪRATĖ    MATEKONIENĖ,11386.00,0.0,442482.0,0.0,13000.0,0.0,75906.40
VYTAUTAS    KURPUVESAS,14294.00,232744.0,223000.0,0.0,11080.0,0.0,103739.85
RŪTA    VANAGAITĖ,756.00,0.0,505000.0,0.0,170000.0,0.0,12399.01
DONATAS    PILINKUS,12531.00,0.0,20000.0,0.0,115000.0,30000.0,83675.46
LIGITAS    KERNAGIS,12930.00,0.0,4000.0,0.0,130000.0,0.0,86202.26
AGNĖ    ZUOKIENĖ,12184.00,0.0,400000.0,0.0,11363.0,44764.0,84228.18
MIROSLAVAS    MONKEVIČIUS,6016.00,361290.0,248923.0,0.0,65447.0,25602.0,78233.90
ŽILVINAS    ŠILGALIS,11729.00,0.0,1722145.0,10000.0,28070.0,153674.0,84374.05
ARTŪRAS    ZUOKAS,27297.00,1519387.0,545800.0,1139488.0,441918.0,4296764.0,233020.30
BERNARDAS    ŠATKOVSKIS,189.00,380000.0,380000.0,0.0,10000.0,0.0,7100.00
RAIMUNDAS    GRUMADAS,7505.00,0.0,0.0,0.0,4000.0,0.0,50032.64
MINDAUGAS    ZILNYS,3771.00,0.0,0.0,0.0,0.0,0.0,27412.55
AURIMAS    JANONIS,1026.00,0.0,0.0,0.0,16555.0,8384.0,12000.00
PAULIUS    ZYKAS,3290.00,0.0,1300.0,0.0,0.0,0.0,24577.04
VALENTINAS    MIZEIKIS,5720.00,20500.0,84600.0,0.0,10000.0,0.0,41486.35
DARIUS    BARTAŠIUS,0.00,0.0,110000.0,0.0,0.0,0.0,4285.00
RIČARDAS    ŠALKAUSKAS,9883.00,130000.0,100000.0,0.0,0.0,0.0,76999.32
SAULIUS    ADOMAVIČIUS,0.00,0.0,21000.0,0.0,50000.0,0.0,0.00
DANUTĖ    BLAŽYTĖ-BAUŽIENĖ,3055.00,7859.0,200510.0,0.0,0.0,0.0,27329.89
RIMA    ŠTEFANE,9493.00,28196.0,132000.0,0.0,0.0,0.0,67768.46
IRUTĖ    GEDUTIENĖ,3632.00,0.0,228000.0,0.0,13000.0,0.0,33710.60
ARŪNAS    MATULIS,0.00,0.0,224053.0,50000.0,15000.0,893000.0,2442.41
ALGIMANTAS    ARNASTAUSKAS,5862.00,0.0,4000.0,0.0,0.0,0.0,41515.80
MINDAUGAS    KONČIUS,74.00,0.0,163000.0,0.0,50000.0,0.0,658.00
TOMAS    BIKELIS,16641.00,0.0,23908.0,0.0,170030.0,0.0,110939.66
RIMANTAS    MAKRICKAS,7511.00,0.0,206935.0,0.0,70000.0,0.0,50426.41
ALVYDAS    VALEIŠA,6714.00,0.0,167093.0,0.0,9000.0,0.0,52760.98
ALBINAS    STANKUS,8784.00,0.0,284084.0,0.0,78000.0,5000.0,58562.07
MINDAUGAS    KRENCIUS,12225.00,0.0,121500.0,0.0,28000.0,0.0,81502.41
NERIJUS    STASIULIS,3674.00,490208.0,228000.0,0.0,22600.0,0.0,66821.86
VLADAS    BURAGAS,0.00,0.0,15396.0,0.0,25000.0,0.0,0.00
ARŪNAS    GUMULIAUSKAS,10017.00,0.0,67000.0,0.0,30000.0,0.0,70138.37
ARŪNAS    GRUMADAS,8927.00,0.0,79688.0,0.0,74667.0,4562.0,65160.89
ALVYDAS    MEDALINSKAS,5245.00,30000.0,642426.0,28450.0,15700.0,0.0,36937.03
EUGENIJUS    SKRUPSKELIS,0.00,0.0,83000.0,0.0,0.0,0.0,3856.67
ALVYDAS    KIMTYS,0.00,0.0,12500.0,0.0,40000.0,0.0,5633.97
RAMŪNAS    RAMANAUSKAS,3993.00,0.0,15000.0,0.0,11248.0,0.0,32452.32
ANGELIJA    RANCEVIENĖ,0.00,0.0,352320.0,0.0,0.0,0.0,0.00
ZIGMANTAS    VALIULIS,0.00,6000.0,255800.0,0.0,0.0,0.0,0.00
LIUDAS    VEDECKIS,0.00,9445.0,111575.0,0.0,0.0,0.0,0.00
GYTIS    JACKŪNAS,10802.00,66051.0,90000.0,0.0,0.0,0.0,79916.86
NIJOLĖ    DARGUŽIENĖ,4967.00,0.0,165000.0,0.0,0.0,0.0,35197.19
BIRUTĖ    BUDRECKIENĖ,1702.00,0.0,37000.0,0.0,52000.0,0.0,66957.79
GEDIMINAS    DAVULIS,8238.00,0.0,232000.0,0.0,240000.0,9100.0,55521.95
NIJOLĖ    BARONIENĖ,5133.00,0.0,214000.0,0.0,15000.0,0.0,35900.68
RIMANTAS    PAKALNIS,3444.00,0.0,0.0,0.0,0.0,0.0,26934.66
ROMUALDAS    KACEVIČIUS,6388.00,0.0,160000.0,0.0,0.0,0.0,43185.11
JŪRIUS    BRUKLYS,7632.00,34200.0,106391.0,0.0,0.0,0.0,51474.89
EDVARDAS    KUVIKAS,342.00,0.0,196600.0,0.0,37278.0,14598.0,11632.45
RENALDAS    ŽILINSKAS,521.00,26000.0,54100.0,0.0,15000.0,0.0,10694.54
ALVYDAS    DIRSĖ,10088.00,0.0,500.0,0.0,8000.0,696.0,67252.81
VYTAS    MAŽĖTIS,9448.00,0.0,66780.0,0.0,3500.0,0.0,62984.86
ANTANAS    AUGŪNAS,4606.00,4000.0,49000.0,0.0,15000.0,0.0,31887.13
VAIDAS    NAGRECKIS,5492.00,0.0,2072.0,0.0,0.0,0.0,39011.34
KĘSTUTIS    DVARŽECKIS,5815.00,0.0,166500.0,0.0,15000.0,0.0,38766.89
EGIDIJUS    VISOCKAS,5126.00,0.0,125098.0,0.0,21000.0,0.0,38590.44
NIJOLĖ    VILIENĖ,1162.00,0.0,87000.0,0.0,4500.0,0.0,16061.77
LIUDAS    BRADAUSKAS,1105.00,0.0,348200.0,0.0,5000.0,0.0,12941.24
TOMAS    BAKUČIONIS,3344.00,0.0,92000.0,0.0,6000.0,0.0,25796.37
GEDIMINAS    AKELAITIS,10427.00,0.0,109000.0,0.0,190000.0,0.0,69513.37
PRANAS    NOREIKA,1902.00,22467.0,212686.0,0.0,5000.0,0.0,23958.68
JONAS    VALATKA,4750.00,0.0,439515.0,0.0,13614.0,45429.0,32686.49
ALGIRDAS    ENDRIUKAITIS,3.00,0.0,191000.0,0.0,55000.0,0.0,14.22
DAINIUS PETRAS    PAUKŠTĖ,6588.00,0.0,48000.0,0.0,29834.0,0.0,43919.93
VIOLETA    LINKIENĖ,0.00,0.0,318760.0,0.0,10000.0,0.0,1200.00
ARVYDAS    AKSTINAVIČIUS,3903.00,0.0,87823.0,0.0,0.0,2160.0,35220.75
ŠARŪNAS    LAUŽADIS,2894.00,16000.0,470000.0,0.0,30800.0,0.0,22913.26
RIMANTAS    MATULIS,38.00,0.0,200800.0,0.0,0.0,0.0,250.00
VLADAS    TURČINAVIČIUS,3211.00,0.0,733000.0,0.0,0.0,0.0,25641.44
GINTARAS    EIGIRDAS,2430.00,107114.0,113431.0,0.0,29000.0,127000.0,19800.00
TOMAS    BEDULSKIS,0.00,0.0,0.0,0.0,0.0,0.0,5201.53
MARIUS    GALINIS,5499.00,0.0,506000.0,0.0,0.0,0.0,38463.28
DONATAS    GOLUBEVAS,0.00,0.0,10000.0,0.0,14462.0,0.0,0.00
MARIUS    KUNDROTAS,857.00,0.0,153000.0,0.0,0.0,0.0,8218.00
EGIDIJUS    SINKEVIČIUS,3189.00,85921.0,207000.0,0.0,0.0,0.0,25725.22
MANTAS    URBONAS,14637.00,350001.0,293000.0,0.0,42541.0,9000.0,105474.01
BRONISLAVA    DAUNORIENĖ,1242.00,0.0,179000.0,0.0,0.0,0.0,13199.33
ANGELĖ    KAZLAUSKIENĖ,344.00,0.0,200000.0,0.0,36016.0,0.0,2344.19
JUOZAS    LOPETAITIS,2093.00,5934.0,230800.0,0.0,4349.0,0.0,20704.49
REGINA    MUSNECKIENĖ,4415.00,0.0,137000.0,0.0,0.0,0.0,30826.46
GINTARAS    BINKAUSKAS,17607.00,0.0,39700.0,10175.0,64981.0,0.0,121183.18
DALIA    URBANAVIČIENĖ,11957.00,0.0,200000.0,0.0,7119.0,0.0,80916.43
VYTAUTAS    TUMĖNAS,5698.00,0.0,58147.0,0.0,52334.0,108.0,39061.73
ALGIMANTAS    ŠVANYS,0.00,0.0,1009600.0,0.0,350000.0,99000.0,5822.80
DONATAS    JANČARAS,0.00,77535.0,0.0,0.0,0.0,0.0,3697.91
MINDAUGAS    ŠIMKŪNAS,15726.00,55000.0,429000.0,0.0,8000.0,14216.0,108147.95
AUDRONĖ    ČEKAUSKIENĖ,3054.00,0.0,370066.0,0.0,10000.0,10000.0,25067.84
ANDRIUS    ŠIMAS,9842.00,71173.0,272550.0,0.0,15345.0,0.0,65698.26
DARIUS    KOMKA,650.00,67458.0,59750.0,0.0,20348.0,76356.0,3784.60
ČESLOVAS    ŠLĖGAITIS,225.00,120000.0,270256.0,0.0,4073.0,0.0,2701.00
ANDRIUS    JANKAUSKAS,2726.00,0.0,21000.0,0.0,15000.0,5500.0,23743.52
LAIMUTĖ    DĖDINIENĖ,2602.00,0.0,216000.0,0.0,41528.0,0.0,68432.52
LAIMUTIS    VASILEVIČIUS,2681.00,0.0,113430.0,0.0,0.0,0.0,21691.68
REIMUNDAS    VARAPICKAS,5926.00,0.0,280108.0,0.0,25000.0,0.0,39506.72
RIČARDAS    ČEKUTIS,2172.00,0.0,0.0,0.0,0.0,0.0,19447.26
VAIVA    ŽUKIENĖ,22803.00,105203.0,423683.0,0.0,119198.0,12600.0,154013.09
VALENTINAS    GYLYS,1938.00,0.0,11000.0,0.0,0.0,60000.0,17566.94
ARŪNAS    EIGIRDAS,7664.00,56258.0,433360.0,0.0,0.0,4247.0,51740.45
VYTAUTAS    BURBULIS,1884.00,0.0,109000.0,0.0,5000.0,0.0,16766.86
JONAS    VAIŠKŪNAS,2657.00,0.0,416000.0,0.0,63836.0,0.0,26246.93
RIČARDAS    GARUOLIS,1433.00,0.0,78959.0,0.0,0.0,6461.0,31695.41
TOMAS    BARANAUSKAS,4647.00,0.0,88120.0,0.0,0.0,0.0,32614.36
ALFONSAS    LUPEIKIS,3104.00,0.0,559000.0,0.0,802842.0,0.0,32429.60
ALVYDAS    BUTKUS,10148.00,0.0,230000.0,0.0,0.0,0.0,67651.75
JULIUS    PANKA,2593.00,104942.0,92400.0,0.0,0.0,0.0,23370.33
NIJOLĖ    BALČIŪNIENĖ,6443.00,0.0,240500.0,0.0,42000.0,0.0,47906.04
AUDRIUS    RUDYS,743.00,0.0,113608.0,0.0,28684.0,161814.0,3715.95
KAZIMIERAS    UOKA,13490.00,0.0,103100.0,10000.0,185000.0,3000.0,89930.54
GINTARAS    SONGAILA,11461.00,0.0,141889.0,90000.0,15000.0,20000.0,83362.83
ANTANAS    BURAČAS,16973.00,0.0,360000.0,0.0,78000.0,18000.0,215635.81
BIRUTĖ    VALIONYTĖ,2557.00,17360.0,206740.0,0.0,12261.0,0.0,25049.00
DARIUS    VARNAS,0.00,0.0,2500.0,0.0,2000.0,0.0,1483.91
NERIJUS    BUCYLINAS,1047.00,0.0,0.0,0.0,4500.0,0.0,12809.17
ALGIRDAS    ČERNIAUSKAS,7041.00,0.0,309771.0,0.0,10000.0,0.0,51317.90
ZITA    ORENTIENĖ,83.00,4100.0,18000.0,0.0,17000.0,0.0,7755.49
STASYS    GADEIKIS,1048.00,0.0,33800.0,0.0,0.0,0.0,19715.13
DARIUS    TUMŠIS,1035.00,0.0,190750.0,0.0,290200.0,10000.0,12550.00
AUŠRA    MIELEIKIENĖ,5630.00,0.0,112000.0,0.0,0.0,0.0,47848.34
JUDITA    DARGEVIČIENĖ,2694.00,0.0,31800.0,0.0,10000.0,0.0,23243.48
RUSLAN    KOŽEMIAKIN,3590.00,0.0,271000.0,0.0,40000.0,10000.0,26743.30
VACLOVAS    RINGYS,4458.00,0.0,31900.0,0.0,0.0,0.0,31066.72
ARTŪRAS    ŽIGAS,10040.00,0.0,220000.0,0.0,100000.0,0.0,72762.88
DARIJUS    VENSKUS,4596.00,7073.0,6000.0,0.0,0.0,0.0,32333.96
ANTANAS    SKYRIUS,513.00,5000.0,166002.0,0.0,20000.0,0.0,9059.64
JONAS    GRIŠKEVIČIUS,3154.00,0.0,458506.0,4972.0,0.0,0.0,24059.87
VYTAUTAS    MACKONIS,0.00,7055.0,157000.0,0.0,2000.0,0.0,14520.00
ČESLOVAS    BANEVIČIUS,0.00,0.0,255500.0,0.0,63000.0,0.0,0.00
VYTAUTAS    ŠVANYS,8193.00,0.0,329674.0,0.0,94956.0,0.0,55150.78
ALBINAS    KRUŠINSKAS,17971.00,0.0,232167.0,0.0,154000.0,150000.0,119808.31
SANDRA    ČESNULEVIČIŪTĖ,0.00,0.0,7500.0,0.0,0.0,0.0,0.00
JONAS    MAŽINTAS,0.00,0.0,307000.0,0.0,0.0,0.0,26391.40
ARŪNAS    PAKUTINSKAS,6921.00,0.0,53068.0,0.0,0.0,0.0,50541.22
RYTAS    KAMINSKAS,19338.00,0.0,1938853.0,0.0,742222.0,50000.0,128917.84
ALGIRDAS    VILIMAS,0.00,10000.0,0.0,0.0,0.0,0.0,0.00
RIMAS    URBUS,584.00,0.0,376000.0,0.0,0.0,0.0,10444.27
NIJOLĖ    UINSKIENĖ,1040.00,0.0,227500.0,0.0,327000.0,41000.0,13947.76
ALGIMANTAS    KIRKUTIS,23024.00,0.0,506667.0,0.0,210000.0,0.0,157516.03
ALGIMANTAS    MATULEVIČIUS,3116.00,796000.0,700230.0,50000.0,42200.0,37750.0,23610.52
SAULIUS    OŽELIS,753.00,0.0,54914.0,0.0,0.0,0.0,10983.34
VALERIJUS    JEGANIANAS,0.00,0.0,126000.0,0.0,17034.0,0.0,0.00
GEDIMINAS    SADAUSKAS,0.00,0.0,204000.0,0.0,0.0,0.0,2335.93
VYTAUTAS    ŠUSTAUSKAS,0.00,0.0,3600.0,0.0,0.0,0.0,173.22
RAIMONDAS VALDAS    NEKROŠIUS,311.00,0.0,446465.0,0.0,200000.0,0.0,4575.64
VISVALDAS MARIJUS    MAŽONAS,0.00,0.0,105800.0,0.0,0.0,0.0,0.00
TIRKIŠAS    AMANOVAS,144.00,0.0,0.0,0.0,53000.0,0.0,8400.00
GINTARĖ    VALSKIENĖ,5019.00,0.0,29500.0,0.0,0.0,0.0,36523.78
VYTAUTAS    ČEREŠKA,0.00,0.0,0.0,0.0,0.0,0.0,0.00
ALDONA    IVOŠKIENĖ,0.00,0.0,8000.0,0.0,0.0,0.0,2480.00
GINTAUTAS    SODAITIS,1901.00,0.0,5500.0,0.0,70000.0,25000.0,19793.26
GINTARAS    ČEKAUSKAS,11589.00,0.0,63854.0,0.0,49445.0,0.0,77984.98
JOANA    TAMKEVIČIŪTĖ,0.00,0.0,47871.0,0.0,0.0,0.0,0.00
MARIJA    TAMKEVIČIŪTĖ,0.00,0.0,14249.0,0.0,0.0,0.0,0.00
ROMUALDAS    ŠLIOGERIS,0.00,109522.0,222600.0,0.0,17530.0,6500.0,0.00
ALGIRDAS    BAGUŠINSKAS,6216.00,0.0,129226.0,0.0,23000.0,0.0,50167.36
ANDRIUS    PALIONIS,17204.00,25278.0,670300.0,0.0,62000.0,78000.0,116490.35
VYTAUTAS    ZIMINSKAS,0.00,0.0,164400.0,0.0,21000.0,0.0,0.00
MINDAUGAS    KLUONIS,0.00,608.0,160000.0,0.0,51123.0,0.0,160000.00
VIKTORAS    JENCIUS,6222.00,24559.0,407672.0,0.0,160000.0,0.0,165419.31
JUOZAS    UŽKURĖLIS,0.00,0.0,123167.0,0.0,0.0,0.0,85373.88
STASYS    TUMĖNAS,8160.00,0.0,493200.0,0.0,15000.0,0.0,54400.07
LAIMUTĖ    ŠLAMIENĖ,2023.00,0.0,0.0,0.0,38000.0,0.0,14083.67
VIDA    AČIENĖ,7356.00,154585.0,169455.0,0.0,0.0,0.0,57468.01
DAIVA    ŠIDEIKIENĖ,0.00,0.0,125000.0,0.0,15089.0,0.0,120.56
STANISLOVAS    GIEDRAITIS,12390.00,0.0,717187.0,0.0,5000.0,0.0,125654.71
KĘSTUTIS    RUPULEVIČIUS,0.00,0.0,10000.0,0.0,0.0,0.0,0.00
NIJOLĖ    KATKIENĖ,3851.00,0.0,629700.0,0.0,0.0,0.0,93331.64
JUOZAS    SKESTENIS,8777.00,45366.0,340000.0,0.0,51103.0,0.0,59889.00
MANTAS    LELIUKAS,20706.00,285411.0,222000.0,0.0,87400.0,5000.0,153149.92
ALGIMANTAS    BIRBILAS,6581.00,3800.0,57650.0,0.0,3595.0,600.0,45171.44
POVILAS    URBŠYS,12338.00,25000.0,78458.0,0.0,14611.0,0.0,82253.41
VITALIJUS    SATKEVIČIUS,11166.00,0.0,36684.0,0.0,25000.0,0.0,74595.57
IRENA    ČEILITKIENĖ,14351.00,250802.0,712000.0,0.0,0.0,0.0,104809.75
ANDRIUS    ŠEDŽIUS,13995.00,5829677.0,7891899.0,297416.0,86729.0,1006425.0,165974.05
EVALDAS    LEMENTAUSKAS,12654.00,68945.0,350000.0,0.0,442229.0,0.0,87798.31
GEDIMINAS    POCIUS,0.00,0.0,35000.0,0.0,0.0,10000.0,0.00
LIGITA    GIRSKIENĖ,6729.00,62089.0,70000.0,0.0,10578.0,0.0,49734.03
ŠARŪNAS    NAVICKIS,273.00,0.0,0.0,0.0,0.0,0.0,3622.37
NAGLIS    PUTEIKIS,9837.00,0.0,391700.0,14400.0,69.0,7702.0,66929.00
ŽILVINAS    ŠUMSKIS,0.00,6000.0,26000.0,0.0,0.0,0.0,0.00
EDVARDAS    SATKEVIČIUS,0.00,0.0,74200.0,0.0,9000.0,0.0,455.50
JONAS    NORKUS,0.00,0.0,18906.0,0.0,0.0,0.0,0.00
LINAS    BALSYS,7739.00,0.0,255000.0,0.0,37201.0,0.0,51595.03
GEDIMINAS    NAVAITIS,13375.00,0.0,0.0,0.0,103000.0,0.0,89164.41
AUDRIUS    ENDZINAS,12091.00,0.0,54722.0,105010.0,178319.0,98000.0,91259.04
GEDIMINAS    ČEPULIS,9446.00,27715.0,138628.0,0.0,10000.0,0.0,63573.58
AUDRIUS    VAIŠVILA,23448.00,307277.0,1969396.0,30000.0,213250.0,10000.0,158829.70
ALBINAS    KUNCEVIČIUS,19619.00,0.0,30000.0,0.0,0.0,0.0,132004.63
PAULIUS    RUMBUTIS,12453.00,0.0,57184.0,0.0,90085.0,0.0,83022.16
MODESTAS    KLIKNA,3151.00,45240.0,24200.0,0.0,3832.0,0.0,24307.17
ARŪNAS    MALIAUKA,0.00,86200.0,191800.0,0.0,0.0,178624.0,4811.60
DIANA    ZVIEDRIENĖ,0.00,165965.0,179000.0,0.0,0.0,0.0,6668.38
AURIMAS    MOCKUS,1499.00,339916.0,429116.0,25000.0,200000.0,260495.0,18284.69
ROMAS    REMĖZA,1672.00,0.0,190000.0,0.0,20000.0,240100.0,17590.35
EDVARDAS    VITKAUSKAS,2438.00,529007.0,2707.0,73829.0,274298.0,304975.0,24762.89
DANIELIUS    VALIAUGA,8799.00,8648.0,298000.0,169500.0,32000.0,501320.0,63694.46
BRIGITA    BINGELYTĖ,140.00,10000.0,128734.0,0.0,21500.0,0.0,2800.00
DAIVA    KRIKŠTAPONIENĖ,6389.00,0.0,70000.0,0.0,24244.0,0.0,50766.68
ALIKAS    MILKO,9347.00,81000.0,166906.0,0.0,8500.0,0.0,67660.47
KRISTINA    MAŠIRKIENĖ,2782.00,0.0,131000.0,0.0,15000.0,0.0,54125.07
GINTARAS    KRAUJUTIS,17332.00,0.0,128519.0,0.0,21621.0,0.0,117349.95
REDA    ZAKARAUSKAITĖ,5604.00,0.0,14308.0,0.0,35000.0,0.0,38823.32
VIKTORAS    STRUPS,6171.00,0.0,230000.0,0.0,35000.0,0.0,41138.12
ARVYDAS    ŠMIGELSKIS,8109.00,332142.0,1101143.0,0.0,125332.0,0.0,222405.13
RENATAS    SALADŽIUS,503.00,276000.0,410000.0,0.0,10000.0,0.0,11528.49
JOLANTA ADA    JANUITIENĖ,4699.00,0.0,26750.0,0.0,6000.0,0.0,32405.14
RITA    JAGMINIENĖ,0.00,0.0,6000.0,0.0,0.0,0.0,3756.59
GYTAUTAS    DAMIJONAITIS,8959.00,0.0,6000.0,0.0,53107.0,0.0,59723.49
GEDIMINAS    DAUKŠYS,5408.00,0.0,100902.0,0.0,10000.0,566984.0,49546.74
ALGIS    MAČIULIS,7917.00,0.0,126000.0,0.0,23469.0,1100.0,54244.98
PAULIUS    KIZERSKIS,3988.00,2892.0,56300.0,0.0,7425.0,0.0,33060.68
SIGITAS    ŠLIAŽAS,7772.00,157600.0,303000.0,0.0,20000.0,0.0,58554.19
GRAŽINA    SUKURIENĖ,7656.00,8500.0,55400.0,0.0,52000.0,0.0,69463.45
ROMAS    SADAUSKAS,2857.00,89000.0,119400.0,0.0,55900.0,10000.0,19043.87
GERARDAS AIDIGINTAS    JURKONIS,6160.00,0.0,520356.0,0.0,250000.0,0.0,41022.76
SIMONA    JUCIENĖ,1402.00,0.0,0.0,0.0,0.0,0.0,15088.97
GYTIS    GRIGONIS,4155.00,0.0,8900.0,0.0,19332.0,3246.0,32331.71
JUSTINAS ROMUALDAS    BABECKAS,490.00,0.0,235000.0,0.0,11800.0,10000.0,22387.50
LIUDAS    ANDRIKIS,3976.00,5520.0,214370.0,0.0,87.0,185.0,242322.16
ŠARŪNAS    SKUČAS,3859.00,493000.0,580000.0,24900.0,42000.0,0.0,31458.94
BENEDIKTAS    KRASNIAUSKAS,85.00,198489.0,400000.0,39000.0,0.0,0.0,5609.75
VYTAS    LIUDŽIUS,2277.00,0.0,0.0,0.0,20000.0,10000.0,20952.77
