kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
LINAS    KRAPAVICKAS,90.00,0.0,7400.0,0.0,26000.0,0.0,12378.29
ROLANDAS    CIJUNČIKAS,777.00,635600.0,10000.0,0.0,10000.0,10000.0,12052.25
VYGINTAS    AUKŠTUOLIS,6976.00,37000.0,0.0,0.0,0.0,0.0,46506.39
ANDREJ    AVDONIN,0.00,330000.0,280000.0,0.0,10000.0,0.0,5079.75
AUŠRYDAS    TAMULIONIS,11354.00,117300.0,582500.0,0.0,70000.0,0.0,80200.67
IVETA    SKURVYDIENĖ,6890.00,5900.0,158000.0,0.0,19000.0,0.0,54788.55
IRENA    IGNATAVIČIENĖ,0.00,0.0,213713.0,0.0,0.0,0.0,0.00
ANDRIUS    BŪDA,603.00,100000.0,475300.0,0.0,125000.0,157846.0,14240.31
SIGITAS    ARBAČIAUSKAS,1697.00,0.0,27000.0,0.0,55746.0,0.0,31511.91
DAIVA    VALIAUGIENĖ,6130.00,0.0,11000.0,0.0,27917.0,0.0,43063.54
VALDAS    MARČIULIONIS,6166.00,244575.0,150500.0,0.0,18760.0,0.0,108556.76
ŽYDRŪNAS    GRENCEVIČIUS,2012.00,0.0,35339.0,0.0,65689.0,150602.0,32781.14
VILMA    ČIVILIENĖ,0.00,0.0,333000.0,0.0,100023.0,5000.0,0.00
SAULIUS    LIEKIS,3681.00,155000.0,66000.0,0.0,0.0,0.0,33163.57
GINTARAS    GIRŠTAUTAS,6352.00,6000.0,96106.0,0.0,10000.0,0.0,42775.10
VALDEMARAS    PUODŽIŪNAS,3293.00,0.0,443150.0,30000.0,705000.0,0.0,56529.31
ROBERTAS    MIKALAUSKIS,5662.00,0.0,350000.0,0.0,70000.0,0.0,40574.98
AUDRIUS    ILGEVIČIUS,4921.00,0.0,142500.0,0.0,26185.0,0.0,33637.31
ALVYDAS    GERVINSKAS,8725.00,14948.0,45664.0,24800.0,42250.0,11404.0,65823.13
ARVYDAS    ŽILINSKAS,9704.00,0.0,0.0,0.0,100000.0,0.0,65295.00
VACLOVAS    SAMUOLIS,5759.00,0.0,141000.0,0.0,11370.0,8100.0,40539.49
ARŪNAS    MARKŪNAS,8294.00,62130.0,123000.0,0.0,24100.0,0.0,59216.54
MARTYNAS    MARCINKEVIČIUS,13968.00,256431.0,384024.0,0.0,70000.0,0.0,98864.05
VITAS    KARČIAUSKAS,7885.00,10473.0,107734.0,0.0,19813.0,0.0,54106.78
REGINA    LOPIENĖ,5797.00,0.0,53576.0,0.0,0.0,0.0,42249.44
VAIDA    KATINAITĖ,2171.00,0.0,7000.0,0.0,476.0,0.0,18359.25
RITA    JUOZAPAITIENĖ,5082.00,49907.0,57000.0,0.0,0.0,0.0,36231.71
DANUTĖ    IVANAUSKIENĖ,4827.00,0.0,122200.0,0.0,5000.0,0.0,33619.39
GRAŽVYDAS    GULBINSKAS,1432.00,0.0,896321.0,0.0,0.0,3500.0,14255.90
KĘSTUTIS    VILNIŠKIS,4007.00,0.0,322805.0,0.0,50000.0,260000.0,36090.00
EGLĖ    MANKEVIČIENĖ,3676.00,0.0,25384.0,0.0,40000.0,0.0,35244.30
IRENA    SIMUTIENĖ,55.00,0.0,258100.0,26000.0,0.0,0.0,6399.08
VYGANTAS    GROSS,9511.00,0.0,8400.0,0.0,33000.0,10000.0,65386.00
ALGIRDAS    KIZNIS,0.00,0.0,324446.0,0.0,0.0,0.0,0.00
VIDAS    RYBELIS,10995.00,105353.0,91991.0,0.0,20066.0,17201.0,76576.53
VYTAUTAS    ŠIMKUS,6802.00,0.0,60167.0,0.0,47885.0,0.0,45343.90
AIVARAS    VASYLIUS,5127.00,160907.0,618297.0,117500.0,17500.0,50000.0,35974.44
RIMVYDAS    TAMULAITIS,7306.00,358980.0,400200.0,0.0,0.0,0.0,53051.50
GEDIMINAS    JEGELEVIČIUS,9378.00,0.0,517400.0,0.0,90000.0,140200.0,64635.46
ALGIS    MARCINKEVIČIUS,7777.00,0.0,81665.0,0.0,72650.0,0.0,59321.46
ROMUALDAS    KISELIŪNAS,0.00,0.0,111700.0,0.0,16984.0,0.0,163.80
RIMANTAS    RADŽIUS,7600.00,26401.0,293000.0,0.0,125382.0,0.0,73247.80
LAIMONAS    PAURA,8051.00,251000.0,2143000.0,313875.0,20836.0,482594.0,196555.53
VALERIJUS    KUZNECOVAS,12354.00,196000.0,438470.0,0.0,19300.0,18550.0,82160.64
ROMAS    MEDZVECKAS,9156.00,0.0,0.0,0.0,120000.0,0.0,72253.20
VYTAUTAS    KANEVIČIUS,7143.00,0.0,109882.0,0.0,312267.0,0.0,52622.71
REGIMANTAS    BARAVYKAS,8352.00,0.0,26700.0,60500.0,60686.0,0.0,60663.46
SAULIUS    SIMĖ,7483.00,72778.0,101000.0,0.0,135000.0,0.0,57922.82
VINCAS    KAPOČIUS,8635.00,0.0,414329.0,83842.0,90123.0,21171.0,81030.02
ANTANAS    ČERNECKIS,6934.00,0.0,122900.0,0.0,40660.0,0.0,61635.92
RIČARDAS    JUŠKA,8489.00,167021.0,208928.0,0.0,37772.0,0.0,56596.57
ROBERTAS    PIEČIA,0.00,0.0,496427.0,270000.0,102096.0,0.0,187800.00
ADOLFINA    BLAUZDŽIŪNIENĖ,3594.00,0.0,148000.0,0.0,0.0,90.0,41942.84
JONAS    KIETAVIČIUS,6530.00,0.0,240000.0,0.0,35000.0,0.0,45336.25
KĘSTUTIS    NAVICKAS,11998.00,0.0,226500.0,0.0,28268.0,0.0,178298.98
ARTŪRAS    TEPELYS,2129.00,0.0,938737.0,100000.0,34500.0,265000.0,18129.69
ALVYDAS    BANEVIČIUS,12549.00,1700000.0,1700.0,0.0,200000.0,0.0,85460.01
LINAS    JANUŠONIS,1772.00,0.0,120000.0,0.0,0.0,0.0,18199.91
ARŪNAS    STAŠAITIS,5821.00,0.0,419000.0,0.0,27000.0,7200.0,44217.78
DEIVIDAS    STAPONKUS,12270.00,0.0,228850.0,0.0,89000.0,0.0,83667.33
GINTARAS STEPONAS    VYŠNIAUSKAS,9290.00,0.0,1206521.0,50000.0,300000.0,60000.0,64931.86
SIGITAS    ŠIUPŠINSKAS,12351.00,14042.0,362900.0,0.0,25076.0,0.0,88174.70
MINDAUGAS    LADIGA,12133.00,102542.0,530563.0,0.0,0.0,0.0,90010.20
JURIJUS    PETROVAS,0.00,0.0,241793.0,0.0,2000.0,10000.0,3034.85
EDITA    STUNDŽIAITĖ,7489.00,47669.0,332000.0,0.0,31704.0,0.0,50665.18
VALDAS PETRAS    MIKELIONIS,6377.00,8500.0,69231.0,0.0,32000.0,0.0,51872.23
DEIVYDAS    RUBEŽIUS,7815.00,106617.0,45933.0,0.0,0.0,50000.0,43898.05
SAULIUS    BUDINAS,11612.00,0.0,288000.0,11300.0,215000.0,119303.0,82810.52
ROBERTAS    STANIONIS,8409.00,90000.0,60744.0,0.0,165000.0,0.0,60742.00
GINTAUTAS    REKERTA,7490.00,0.0,28960.0,0.0,76389.0,15622.0,57042.01
JŪRATĖ    GRICIŪTĖ,13755.00,131623.0,170000.0,0.0,66425.0,0.0,100777.30
VIDMANTAS    PLEČKAITIS,12489.00,41383.0,172095.0,0.0,25420.0,0.0,84769.26
RIMANTAS    KLIPČIUS,0.00,470000.0,458898.0,0.0,138375.0,0.0,410555.72
KĘSTUTIS    PAKALNIS,14359.00,0.0,581167.0,190109.0,431734.0,10700.0,99422.16
VYTAUTAS    LAURINAITIS,5839.00,0.0,27000.0,0.0,0.0,0.0,39528.08
MANTAS    PANAVAS,0.00,8644.0,6000.0,0.0,0.0,0.0,146.11
VOLDEMARAS    BANDŽIUKAS,5298.00,326763.0,407462.0,0.0,0.0,0.0,37600.48
VIDAS    BIČKUS,5837.00,0.0,0.0,0.0,52000.0,0.0,41240.95
PRANAS    PAŠKEVIČIUS,499.00,0.0,155237.0,0.0,263550.0,14600.0,14722.53
MINDAUGAS    ŠIVICKAS,6009.00,0.0,165000.0,0.0,32936.0,0.0,42618.03
TOMAS    KARUŽAS,5685.00,0.0,0.0,0.0,45909.0,0.0,38590.11
VINCAS    LAURUTIS,13980.00,0.0,1139600.0,0.0,25700.0,218940.0,219288.59
KĘSTUTIS    TRAPIKAS,1619.00,321977.0,774961.0,0.0,0.0,2100.0,18587.48
NORA    RIBOKIENĖ,11096.00,0.0,12000.0,0.0,110000.0,0.0,73971.42
JURGITA    GINTAUTAITĖ,7618.00,0.0,167000.0,0.0,31667.0,0.0,51051.99
NIJOLĖ    MAKŠTUTIENĖ,6260.00,0.0,165000.0,0.0,22780.0,0.0,41735.60
VYTAUTAS    TARAILĖ,14037.00,0.0,2325000.0,58600.0,408000.0,0.0,93578.85
ARŪNĖ    STIRBLYTĖ,12934.00,123259.0,718000.0,0.0,76978.0,0.0,86224.55
KĘSTUTIS    SMIRNOVAS,5891.00,347468.0,196040.0,0.0,150490.0,0.0,44105.10
KLEMENSAS    RIMŠELIS,11057.00,0.0,195000.0,0.0,310000.0,0.0,78510.41
APOLINARAS    NICIUS,10501.00,11000.0,101600.0,0.0,35200.0,0.0,70003.87
ANTANAS    NEDZINSKAS,12301.00,0.0,89000.0,0.0,241485.0,0.0,94204.59
JONAS    JUČAS,11364.00,0.0,93971.0,0.0,177086.0,20247.0,83156.60
KĘSTUTIS    BILIUS,6688.00,0.0,257000.0,0.0,11429.0,0.0,44583.37
RIMANTAS    REMEIKA,10874.00,464283.0,298500.0,0.0,240520.0,0.0,79699.99
SAULIUS    GRINKEVIČIUS,298219.00,0.0,690074.0,35000.0,385093.0,1826000.0,1528344.00
SAULIUS    LAPĖNAS,8707.00,0.0,395139.0,0.0,29433.0,1180000.0,67821.36
VINCAS    BABILIUS,18633.00,0.0,14400.0,0.0,270000.0,1655000.0,135585.94
AUDRIUS    KLIŠONIS,17697.00,1057856.0,332180.0,110835.0,240925.0,9620.0,158288.27
KĘSTUTIS    VAITUKAITIS,7459.00,0.0,167700.0,0.0,68893.0,6000.0,105869.86
JONAS    LIESYS,12662.00,0.0,23488.0,0.0,98942.0,0.0,86410.24
ANDRIUS    BURBA,11613.00,796308.0,875460.0,25000.0,131765.0,5500.0,85925.85
DONATAS    STONYS,27800.00,0.0,600000.0,50648.0,633541.0,843153.0,144507.52
REGIMANTAS    ČIUPAILA,11166.00,0.0,76300.0,0.0,25274.0,0.0,74439.56
RIMANTAS    TARAŠKEVIČIUS,18195.00,0.0,476000.0,0.0,24968.0,362166.0,133658.98
GINTAUTAS    BABRAVIČIUS,5740.00,0.0,0.0,0.0,0.0,0.0,38867.95
DALIA    ŠTRAUPAITĖ,6880.00,31557.0,88025.0,0.0,38000.0,0.0,45868.11
GEDIMINAS    KAZLAUSKAS,12776.00,625764.0,2334440.0,0.0,261752.0,0.0,102846.83
RAIMONDAS    ŠUKYS,17259.00,136935.0,339293.0,0.0,17310.0,0.0,120123.60
VYTAUTAS    BOGUŠIS,14236.00,0.0,175444.0,0.0,412335.0,0.0,104375.93
ARTŪRAS    MELIANAS,13794.00,0.0,200000.0,0.0,63392.0,60000.0,100878.00
ARŪNAS    VALINSKAS,12890.00,873164.0,2680573.0,19000.0,55003.0,50900.0,152534.94
RAIMUNDAS    PALAITIS,24122.00,300903.0,772062.0,0.0,354909.0,1266160.0,288599.63
